antecedents,consequents,support,confidence,lift
frozenset({'citrus fruit'}),frozenset({'frozen vegetables'}),0.001603956425850431,0.030188679245283016,1.0780744810194982
frozenset({'frozen vegetables'}),frozenset({'citrus fruit'}),0.001603956425850431,0.05727923627684964,1.0780744810194982
frozenset({'shopping bags'}),frozenset({'dessert'}),0.0012029673193878234,0.025280898876404497,1.0716093197950156
frozenset({'dessert'}),frozenset({'shopping bags'}),0.0012029673193878234,0.0509915014164306,1.0716093197950156
frozenset({'shopping bags'}),frozenset({'cream cheese '}),0.0012029673193878234,0.025280898876404497,1.0685821748238433
frozenset({'cream cheese '}),frozenset({'shopping bags'}),0.0012029673193878234,0.05084745762711865,1.068582174823843
frozenset({'rolls/buns'}),"frozenset({'other vegetables', 'soda'})",0.0011361358016440553,0.010328068043742407,1.0657853940587423
"frozenset({'other vegetables', 'soda'})",frozenset({'rolls/buns'}),0.0011361358016440553,0.11724137931034483,1.0657853940587423
frozenset({'domestic eggs'}),frozenset({'newspapers'}),0.0015371249081066632,0.04144144144144145,1.0654437943097739
frozenset({'newspapers'}),frozenset({'domestic eggs'}),0.0015371249081066632,0.03951890034364261,1.0654437943097737
frozenset({'root vegetables'}),frozenset({'grapes'}),0.0010693042839002875,0.015369836695485112,1.064716974419184
frozenset({'grapes'}),frozenset({'root vegetables'}),0.0010693042839002875,0.07407407407407408,1.064716974419184
frozenset({'beverages'}),frozenset({'bottled water'}),0.0010693042839002875,0.06451612903225808,1.0631661219269577
frozenset({'bottled water'}),frozenset({'beverages'}),0.0010693042839002875,0.01762114537444934,1.0631661219269577
frozenset({'pip fruit'}),frozenset({'berries'}),0.0011361358016440553,0.02316076294277929,1.0630506009595293
frozenset({'berries'}),frozenset({'pip fruit'}),0.0011361358016440553,0.05214723926380368,1.063050600959529
frozenset({'UHT-milk'}),frozenset({'tropical fruit'}),0.0015371249081066632,0.07187500000000001,1.0606169871794875
frozenset({'tropical fruit'}),frozenset({'UHT-milk'}),0.0015371249081066632,0.022682445759368838,1.0606169871794873
frozenset({'detergent'}),frozenset({'rolls/buns'}),0.0010024727661565194,0.11627906976744186,1.0570374975274803
frozenset({'rolls/buns'}),frozenset({'detergent'}),0.0010024727661565194,0.00911300121506683,1.0570374975274803
frozenset({'frankfurter'}),frozenset({'butter'}),0.001403461872619127,0.03716814159292035,1.0553072156638847
frozenset({'butter'}),frozenset({'frankfurter'}),0.001403461872619127,0.039848197343453504,1.0553072156638847
frozenset({'hygiene articles'}),frozenset({'root vegetables'}),0.0010024727661565194,0.07317073170731708,1.0517326210726086
frozenset({'root vegetables'}),frozenset({'hygiene articles'}),0.0010024727661565194,0.01440922190201729,1.0517326210726083
frozenset({'curd'}),frozenset({'frankfurter'}),0.0013366303548753592,0.03968253968253969,1.0509200730439672
frozenset({'frankfurter'}),frozenset({'curd'}),0.0013366303548753592,0.03539823008849558,1.0509200730439672
frozenset({'other vegetables'}),frozenset({'pot plants'}),0.0010024727661565194,0.008210180623973728,1.0499908775770845
frozenset({'pot plants'}),frozenset({'other vegetables'}),0.0010024727661565194,0.1282051282051282,1.0499908775770843
frozenset({'butter'}),frozenset({'bottled beer'}),0.001670787943594199,0.04743833017077799,1.0469317615713143
frozenset({'bottled beer'}),frozenset({'butter'}),0.001670787943594199,0.03687315634218289,1.046931761571314
frozenset({'frozen meals'}),frozenset({'other vegetables'}),0.002138608567800575,0.12749003984063748,1.0441343547539457
frozenset({'other vegetables'}),frozenset({'frozen meals'}),0.002138608567800575,0.01751505199781062,1.0441343547539454
frozenset({'chicken'}),frozenset({'whipped/sour cream'}),0.0012697988371315912,0.045563549160671464,1.0424577768977479
frozenset({'whipped/sour cream'}),frozenset({'chicken'}),0.0012697988371315912,0.0290519877675841,1.0424577768977479
frozenset({'rolls/buns'}),frozenset({'ice cream'}),0.0017376194613379669,0.015795868772782502,1.0412052178288307
frozenset({'ice cream'}),frozenset({'rolls/buns'}),0.0017376194613379669,0.11453744493392069,1.0412052178288307
